Object,RA2000,DE2000,RA,Dec,redshift,MType,sma_host,smb_host,sma_ring,smb_ring,PA,Av,Ag,Ar,Az,rmag_host,rmag_ring,rmag_total,gmag_host,gmag_ring,gmag_total,zmag_host,zmag_ring,zmag_total,rmag_host_error,rmag_ring_error,rmag_total_error,gmag_host_error,gmag_ring_error,gmag_total_error,zmag_host_error,zmag_ring_error,zmag_total_error,g_r_host,g_r_ring,g_r_total,g_r_host_err,g_r_ring_err,g_r_total_err,r_z_host,r_z_ring,r_z_total,r_z_host_err,r_z_ring_err,r_z_total_err
ESO 341-G02,20 39 04.19,-41 10 52.87,309.7674583,-41.18135278,0.039614,E,20.13,18.52,57.23,43,15,0.096,0.116857841116009,0.0798842373935796,0.0438967369601855,14.6074611404877,14.1848948021871,13.6231736905283,15.4736780465502,14.1281449676429,13.8520140249844,14.0305662398933,14.0490161639701,13.2871770232797,0.0035426063633507,0.0055103966091633,0.0029566412890553,0.0032448850881525,0.0076819773750628,0.0059121692998363,0.0037004531543467,0.0062908292958697,0.0024988941615092,0.866216906062547,-0.0567498345441812,0.228840334456125,0.0048040960732449,0.0094539540500922,0.0066102551798001,0.576894900594413,0.135878638216944,0.335996667248578,0.0051228325556442,0.0083629542638981,0.0038712013306688
HRG 36104,04 55 17.83,-37 06 18.81,73.82429167,-37.105225,0.03926,E,20.07,18.63,40.85,36.67,33,0.032,0.0389526137053362,0.0266280791311932,0.0146322456533951,14.8444270298188,15.8585346562622,14.4845743478091,15.7173130308789,16.6564120459761,15.3357698388717,14.2171456041749,15.3006601230215,13.8764280980542,0.0043123354071433,0.0155441355461716,0.0031057123126369,0.0039294558882441,0.0132272357001208,0.0027776329860053,0.0043930787424882,0.0168771635871601,0.0032188416488274,0.872886001060095,0.797877389713907,0.851195491062565,0.0058341117782708,0.0204102894184357,0.0041666166098898,0.62728142564394,0.557874533240634,0.608146249754931,0.0061559221487446,0.0229446900311493,0.0044728503808076
HRG 36101,04 39 37.20,-37 05 05.92,69.905,-37.08497778,,E,21.91,18.66,46.08,25.64,14,0.05,0.0608634589145878,0.0416063736424894,0.0228628838334299,14.4265244777761,15.5184236609431,14.0880589662188,15.2372308454003,16.2324728362739,14.8720227329641,13.8205885377742,15.0175652692919,13.5092835918288,0.0033903090755885,0.0131569945058839,0.002501072111261,0.0031997903301365,0.0113757853304803,0.0023094650037201,0.0035843045787819,0.0153080959230745,0.0027058104647511,0.810706367624203,0.714049175330795,0.783963766745316,0.0046618508968921,0.0173929582392712,0.0034042606112246,0.605935940001897,0.500858391651173,0.578775374389911,0.0049337039778948,0.0201852496942176,0.0036846671460098
A 0103-3044,01 06 10.29,-30 28 26.98,16.542875,-30.47416111,,E,35.82,20.38,48.99,47.86,10,0.05,0.0608634589145878,0.0416063736424894,0.0228628838334299,14.4369490806012,15.6767377578704,14.1361593795858,15.1916516107839,16.2668295728122,14.8486823977382,13.9140676893725,15.2807888900374,13.6426589013742,0.0023386395203382,0.0103952755226644,0.0017845239906942,0.0021810203831592,0.008345304904924,0.0016063591472572,0.002504955332106,0.0125052662405201,0.0019606947615714,0.754702530182771,0.59009181494182,0.712523018152378,0.0031978249980015,0.0133306364119743,0.0024010238614683,0.522881391228642,0.395948867832979,0.493500478211571,0.0034269572541737,0.0162617169123804,0.0026511978088058
HRG 12102,06 00 21.26,-57 56 20.79,90.08858333,-57.93910833,0.0383,E,24.07,20.46,48,40,0,0.126,0.153375916464761,0.104848061579073,0.0576144672602434,14.4337610896223,15.6513285492754,14.1275525762646,15.1958963080297,16.321002723248,14.866225476201,13.9110318402231,15.225455814623,13.627836989629,0.0038834364478553,0.0169350467298727,0.0029564494566145,0.0036747983833491,0.0147479508597636,0.0027492048187212,0.0039436724909658,0.0187679182097028,0.003055464992949,0.762135218407398,0.669674173972556,0.738672899936347,0.005346514921217,0.0224565772615725,0.0040371673887512,0.522729249399216,0.425872734652447,0.499715586635567,0.0055347657005994,0.0252790538127728,0.0042516420019392
HRG 19509,01 08 11.39,-47 08 07.94,17.04745833,-47.13553889,0.023913,E?,49.21,22.13,74.73,74.41,156,0.033,0.0401698828836279,0.027460206604043,0.0150895033300637,13.6875099070072,14.2827891564459,13.1922786145418,14.5351736099588,15.1133484263897,14.0336462406585,13.0878156888214,13.6966080142409,12.5975142700376,0.0019710231994001,0.0048533942326993,0.0012647936184073,0.0018923728807379,0.0045906582246179,0.0012092587559124,0.0020022497506893,0.0049927041216524,0.0012910221814397,0.847663702951593,0.830559269943821,0.841367626116726,0.0027323995996789,0.0066805372922581,0.0017498598903668,0.599694218185791,0.586181142204962,0.594764344504196,0.0028096150121873,0.0069629397544689,0.0018073298454165
HRG 11301,01 07 30.62,-61 20 18.94,16.87758333,-61.33859444,0.0264,E,30.11,22.47,68.7,56.74,81,0.058,0.0706016123409219,0.0482633934252877,0.0265209452467787,14.2279656408241,15.0173402400883,13.7998659700907,15.0809125517156,15.7838282303842,14.6238776647864,13.6150459526749,14.468818127367,13.2075132776237,0.0031617244754499,0.0092710627573709,0.0021407276570073,0.0031739558414993,0.008599341495951,0.0020948194992535,0.003332977269641,0.0103681635223211,0.0022988320249087,0.852946910891568,0.766487990295984,0.824011694695706,0.0044800108640992,0.0126452077410811,0.0029951600351114,0.612919688149148,0.548522112721242,0.592352692467058,0.0045940438764342,0.0139086814427789,0.003141232812165
HRG 29401,00 20 14.18,-39 55 19.38,5.059083333,-39.92205,0.038113,E,36.18,22.54,60.52,44.04,129,0.034,0.0413871520619197,0.0282923340768927,0.0155467610067323,14.7039459814535,16.5131877689246,14.5160543296067,15.4298310128753,17.2479699336583,15.2433483262502,14.2254730007237,16.0372490449257,14.037983668246,0.0031500174104819,0.0235957755593139,0.0026532308098834,0.0030410723164656,0.0229678520293528,0.0025649525093369,0.0032505873717384,0.0244092141561594,0.0027396719922282,0.725885031421878,0.734782164733645,0.727293996643448,0.0043784392790482,0.0329284504811229,0.0036903407844897,0.478472980729793,0.475938723998951,0.478070661360727,0.0045264697002901,0.0339495266530591,0.0038138479722603
FM 424-20,05 49 29.62,-33 03 40.75,87.37341667,-33.06131944,0.03,HL,27.21,22.94,66.31,54.68,0,0.097,0.1180751102943,0.0807163648664294,0.0443539946368541,14.1372675932561,14.9164749772907,13.7058445234854,14.9706940852186,15.6141140268808,14.4928483260538,13.5561410473576,14.457940763102,13.1634115716517,0.0037126623222811,0.0107952476351445,0.0025107663853699,0.0035838592845818,0.009205074551245,0.0023269375519987,0.0038378180574952,0.0124810532896368,0.0026844328926791,0.833426491962443,0.697639049590105,0.787003802568409,0.005160223724895,0.0141869929512237,0.0034232420616727,0.581126545898497,0.458534214188706,0.542432951833716,0.0053397292966706,0.0165019411804444,0.0036756125744154
HRG 19503,01 03 31.55,-47 01 26.28,15.88145833,-47.02396667,0.002,E,34.12,23.56,51.17,45.85,88,0.033,0.0401698828836279,0.027460206604043,0.0150895033300637,14.164547345904,15.2277778932032,13.8183290800437,14.998337183415,16.0405092847147,14.6463285424178,13.5457177897496,14.6547418103944,13.2118123513513,0.0023372115785955,0.0090098878138121,0.0017790168182479,0.0021286294455589,0.0079900334695562,0.0015892908336355,0.0031543501573352,0.0127893006558219,0.0024668686700236,0.833789837511036,0.812731391511532,0.827999462374116,0.0031612689350357,0.0120423715796395,0.0023855284935391,0.618829556154383,0.573036082808786,0.606516728692375,0.0039258735178558,0.0156443053435583,0.003041437468493
ESO 474-G16,00 42 52.55,-23 32 25.73,10.71895833,-23.54048056,0.002,E,29.15,25.01,61.36,41.75,117,0.053,0.0645152664494631,0.0441027560610387,0.0242346568634357,13.1981392334375,13.822734068183,12.7135535819739,13.9565570877963,14.5294249665697,13.453063500673,12.6186868971726,13.2743115743999,12.1451707509,0.0031918754971002,0.0082446183352756,0.0021535233103883,0.0029229565718356,0.0071907514813986,0.0019339551059559,0.0030242570392155,0.0080737586382494,0.0020786637410039,0.758417854358804,0.706690898386659,0.739509918699053,0.0043280185200419,0.0109398646409176,0.0028944507251358,0.579452336264831,0.548422493783056,0.568382831073857,0.0043970671848669,0.0115394674939127,0.0029930762764337
HRG 41102,00 56 52.17,-31 57 46.07,14.217375,-31.96279722,0.187,E,30.53,25.66,64.44,48,174,0.045,0.054777113023129,0.0374457362782404,0.0205765954500869,13.4759763227377,14.754285347721,13.184382972473,14.1442901159687,15.4343432011639,13.8554513840237,13.0317274978028,14.298714062631,12.7374567631668,0.0033605077580691,0.0154389755298062,0.0025734566281626,0.0030728406041925,0.0142731680571613,0.0023598905584643,0.0032867594536136,0.0149450465361806,0.0025112981199231,0.668313793231025,0.680057853442888,0.671068411550678,0.0045536097517043,0.0210258244023374,0.0034916704404859,0.444248824934826,0.455571285090009,0.446926209306204,0.0047006169912003,0.021487586681118,0.0035957332025837
HRG 19512,01 09 55.38,-46 59 30.44,17.48075,-46.99178889,0.023,E,40.55,27.05,93.39,58.41,163,0.032,0.0389526137053362,0.0266280791311932,0.0146322456533951,14.5573243112132,15.5575587762713,14.1935399115643,15.3227972521929,16.1828278063244,14.9172192755392,14.0272475021942,15.1237567006566,13.6900147586066,0.0018925380862287,0.0067507620155928,0.0013643206240796,0.0016775230570213,0.0052724093855383,0.0011695751595484,0.0020254001407598,0.0078966940426575,0.0014970430090757,0.765472940979656,0.625269030053147,0.723679363974933,0.0025289887335977,0.0085656925300808,0.0017970188699959,0.530076809018997,0.4338020756147,0.503525152957653,0.0027719931706294,0.0103889635957834,0.0020254650173013
HRG 19514,01 19 28.20,-51 46 45.90,19.8675,-51.77941667,0.031,E,30.57,28.3,67.27,65.69,59,0.039,0.0474734979533785,0.0324529714411417,0.0178330493900753,13.7354541362275,14.6731082625372,13.3534826118677,14.5985693967729,15.4257491429963,14.1826443281812,13.146085125952,14.0797227592006,12.7629208178022,0.0028935163346529,0.0097470727149872,0.0020528847718252,0.0027011803181393,0.0082070363120736,0.0018521160947665,0.0029665857322698,0.0101388971845188,0.002178203836209,0.863115260545408,0.752640880459067,0.829161716313541,0.0039583850103302,0.0127420905482163,0.0027648996211228,0.589369010275489,0.593385503336664,0.590561794065508,0.0041440400198128,0.0140642334533202,0.0029931434710798
