,Unnamed: 0,Name_1,Name,a_host,b_host,PA_host,a_ring,b_ring,PA_ring,z,angle1,angle2,Dring/dhost,_RAJ2000,_DEJ2000,Name_2,Av,host_rcounts,ring_rcounts,inter_rcounts,host_gcounts,ring_gcounts,inter_gcounts,host_zcounts,ring_zcounts,inter_zcounts,host_rcounts_err,ring_rcounts_err,inter_rcounts_err,host_gcounts_err,ring_gcounts_err,inter_gcounts_err,host_zcounts_err,ring_zcounts_err,inter_zcounts_err,ebv,Ag,Ar,Az,rmag_host,rmag_ring,rmag_total,gmag_host,gmag_ring,gmag_total,zmag_host,zmag_ring,zmag_total,rmag_host_error,rmag_ring_error,rmag_total_error,gmag_host_error,gmag_ring_error,gmag_total_error,zmag_host_error,zmag_ring_error,zmag_total_error,g_r_host1,g_r_ring1,g_r_total1,r_z_host1,r_z_ring1,r_z_total1,g_r_host,g_r_ring,g_r_total,g_r_host_err,g_r_ring_err,g_r_total_err,r_z_host,r_z_ring,r_z_total,r_z_host_err,r_z_ring_err,r_z_total_err,recno,Type,Seq,RAJ2000,DEJ2000,rmag,cz,RA,Dec,pa_host,pa_ring,redshift,redshift_er,boxa,boxb,boxangle,id
2,2,,,21.0,14.0,,50.0,16.0,,,,,,,,,0.09,216.68017868597377,267.3552241603428,194.95193804986772,102.6221218953099,131.5337562395227,92.02215804113077,379.3682310639829,456.7551455958944,341.79185532033443,1.129402119926553,1.14197157325487,1.1213953589764805,0.5033614435923811,0.5127453249140907,0.4991866723742529,1.96291967818885,1.980192705959599,1.9492297782833936,[0.10955423 0.07489147 0.04115319],0.1095542260462581,0.0748914725564809,0.0411531909001739,16.585560564799547,17.77571283338506,16.27255039920973,17.362343298391707,18.39863428208973,17.008702966303492,16.01119441029391,17.307448846822176,15.72380104813423,0.0056591829431337,0.0240007026638751,0.0073571043445378,0.0053255354040047,0.0196641434739354,0.006683295641002,0.0056177950263905,0.0262417229156891,0.0074720949189606,0.7767827335921602,0.6229214487046733,0.736152567093761,0.5743661545056362,0.468263986562885,0.5487493510755002,0.7767827335921602,0.6229214487046733,0.736152567093761,0.0077709509664624,0.0310276049176094,0.0099394881639576,0.5743661545056362,0.468263986562885,0.5487493510755002,0.007974081297704,0.0355620830371837,0.0104861426089089,3.0,B,3.0,00 41 03.44,-09 56 28.1,16.11,11063.0,10.26433333,-9.941138889,55.0,160.0,0.036828,1.55e-05,25.0,25.0,0.0,3.0
3,3,,,23.0,14.0,,42.0,16.0,,,,,,,,,0.089,126.1379836034017,132.3390138546108,111.2872249893844,65.3670521463124,70.7685604990268,57.401996893808246,203.47076916820092,209.81732127983415,180.75273681618276,0.6947964729391549,0.6945957476003853,0.689836446788582,0.3382217152053717,0.3387015362628097,0.3352345066065481,1.169509062138597,1.1687490463536907,1.1625783734110489,[0.10833696 0.07405935 0.04069593],0.1083369568679663,0.0740593450836311,0.0406959332235053,17.173825944324236,19.117718140676264,17.00624657004095,17.85326579298804,19.57661361980045,17.6512625521848,16.688048999713466,18.800893771204453,16.54308159070079,0.0059804799796082,0.0504887446725827,0.0088550432856436,0.0056178081981104,0.0387091810406407,0.0080585367821316,0.0062405933576971,0.0615814622270147,0.0094373065899001,0.6794398486638045,0.458895479124191,0.6450159821438497,0.4857769446107696,0.31682436947181,0.46316497934016,0.6794398486638045,0.458895479124191,0.6450159821438497,0.0082052367264601,0.0636200757265374,0.0119729614824233,0.4857769446107696,0.31682436947181,0.46316497934016,0.0086435609700301,0.0796328439064592,0.012941195743145,4.0,B,4.0,02 42 58.43,-00 57 09.2,16.96,12888.0,40.74345833,-0.952555556,210.0,110.0,0.043012,7.6e-06,25.0,25.0,0.0,4.0
4,4,,,19.0,15.0,,40.0,11.0,,,,,,,,,0.162,135.33545659808692,142.32668270636168,128.13554457342252,84.38095852844393,88.26875410927548,80.03884978743736,187.80774840715836,197.3452521555672,178.2148257652589,0.9148897376285928,0.9167731593603744,0.913603618021745,0.5280655348199293,0.5287616781267794,0.5272317227092099,1.3205348954016347,1.3236407363412923,1.3189408196839765,[0.19719761 0.13480465 0.07407574],0.1971976068832646,0.1348046506016657,0.074075743620313,17.036666368111664,19.48515228093898,16.92839924203254,17.48719125697371,20.014315427424847,17.386147566821105,16.741640491279504,19.22161263150821,16.636322720694288,0.0073397536497399,0.0990223532347465,0.0115088042105194,0.0067946593596195,0.0985090647490628,0.0107219407373378,0.0076341501228998,0.1060507534987865,0.0120049508400552,0.450524888862045,0.5291631464858675,0.4577483247885645,0.2950258768321596,0.2635396494307649,0.2920765213382523,0.450524888862045,0.5291631464858675,0.4577483247885645,0.0100019687788023,0.1396762767182815,0.0157293543265785,0.2950258768321596,0.2635396494307649,0.2920765213382523,0.0105901950755329,0.1450937240469321,0.0166304365254858,5.0,B,5.0,03 44 26.15,-05 42 09.6,16.93,8364.0,56.10895833,-5.702666667,130.0,20.0,0.027858,6.7e-06,25.0,25.0,0.0,5.0
6,6,,,14.6,9.9,,50.0,70.0,,,,,,,,,0.137,117.88454103368434,311.369373620026,121.62427621963434,50.83414536816103,194.7797320074194,52.805520816735225,220.34381088146367,453.6369905749389,226.6135085687856,0.9513143232162868,0.9839401853739796,0.9518733523388668,0.4068642773485986,0.4434631487542887,0.4072304400266017,1.90232833744278,1.936448125149488,1.9031218432507024,[0.16676588 0.11400146 0.0626443 ],0.1667658774259707,0.1140014637804209,0.0626443017035981,17.207356393794747,16.690572127494633,16.165928098608322,18.06784530625988,16.952710461523463,16.62041949045231,16.579603557412295,16.54717874718296,15.810695124384717,0.008761762939941,0.0078336084181924,0.0058837749642308,0.0086899715366672,0.0046043314775429,0.0040919443006303,0.0093736544767762,0.0129848664260101,0.0080458132079448,0.8604889124651329,0.2621383340288297,0.4544913918439874,0.6277528363824523,0.1433933803116716,0.3552329742236075,0.8604889124651329,0.2621383340288297,0.4544913918439874,0.0123403442060508,0.0090865444039342,0.0071667856106605,0.6277528363824523,0.1433933803116716,0.3552329742236075,0.0128309737769863,0.0151648335615957,0.0099676435533605,7.0,B,7.0,07 52 34.32,+29 20 49.7,16.95,18032.0,118.143,29.34713889,70.0,50.0,0.060066,2.49e-05,25.0,25.0,0.0,7.0
10,10,,,20.5,15.0,,37.0,10.8,,,,,,,,,0.077,333.4226296118176,316.62745014544606,290.0604986194521,148.00762365913255,142.40919130972816,128.84688296541572,645.1066214370351,610.4014443473865,572.7187550291419,1.5978099859893629,1.5739269621897738,1.578734352201573,0.7170676199389989,0.7080116505670797,0.7087799813694418,3.631313590876008,3.5954978782932927,3.60738915278856,[0.09372973 0.06407382 0.03520884],0.0937297267284652,0.0640738154094336,0.0352088411034821,16.128438503733886,18.875071876227167,16.045201355726757,16.980560058638506,19.57543623825696,16.88536891775656,15.440712410002314,18.524436434581965,15.379074375140156,0.0052030066229531,0.0911056731577522,0.0082721742080787,0.0052601768542716,0.0802013641135928,0.0082789666903699,0.0061116232657195,0.1467488233376239,0.0099466662515117,0.8521215549046204,0.700364362029795,0.8401675620298015,0.6877260937315715,0.3506354416452026,0.6661269805866006,0.8521215549046204,0.700364362029795,0.8401675620298015,0.007398698429907,0.1213775205184562,0.0117034249512294,0.6877260937315715,0.3506354416452026,0.6661269805866006,0.0080264074691345,0.1727294440230279,0.0129369639269716,11.0,B,11.0,08 48 32.01,+32 20 12.5,15.68,19733.0,132.133375,32.33680556,30.0,120.0,0.065796,1.713e-05,25.0,25.0,0.0,11.0
12,12,,,32.0,20.0,,65.0,15.0,,,,,,,,,0.04,566.4671874881916,546.0139943208444,410.3158818371594,271.29211615813074,266.12363627177524,193.2330729914829,947.2586367975824,902.2435524543667,729.3040205519646,2.3093504602677366,2.2878975722462243,2.2508256080405142,1.075425904977112,1.065797790412857,1.0443081112527122,4.743840814516036,4.7171845441179485,4.680059462339299,[0.04869077 0.0332851  0.01829031],0.0486907671316702,0.0332850989139915,0.0182903070667439,15.583778004844005,17.135280384066753,15.350616492503278,16.367716299872093,17.79463096696288,16.109336704827204,15.040538258629336,16.886973995106057,14.858472547061597,0.0044262853340288,0.0256793305395786,0.0061138827287812,0.0043039541919008,0.0222261780300492,0.0058021534625981,0.0054373320251182,0.0417175635211407,0.0079133112361379,0.78393829502809,0.6593505828961277,0.7587202123239258,0.5432397462146685,0.248306388960696,0.4921439454416827,0.78393829502809,0.6593505828961277,0.7587202123239258,0.0061738175826808,0.0339621996752916,0.0084287927264127,0.5432397462146685,0.248306388960696,0.4921439454416827,0.0070111754656131,0.0489875813150776,0.0100000028370634,13.0,B,13.0,09 14 53.66,+49 38 24.0,15.37,9521.0,138.7235833,49.64,110.0,10.0,0.031768,1.016e-05,25.0,25.0,0.0,13.0
13,13,,,30.0,25.0,,91.0,22.0,,,,,,,,,0.086,844.3568009412598,988.6797333289536,577.3360174037516,392.7388622443236,473.7148886572468,260.61924147233367,1458.7755689080327,1678.5836240606336,1008.2000246942044,3.3977908415049924,3.406163089201376,3.324103990541219,1.4382748671299384,1.4446103503960044,1.3954251802080075,6.222121788318566,6.233329980739688,6.107293094979028,[0.10468515 0.07156296 0.03932416],0.104685149333091,0.0715629626650817,0.0393241601934995,15.11212202285848,15.892924869833584,14.681221854797595,15.910055156548678,16.573878404031337,15.439429830915689,14.550704636601642,15.394867387474491,14.140155517446688,0.004369129885263,0.0125622962897012,0.0050562634207553,0.0039761461005231,0.0102334868587042,0.0044272385876701,0.0046309953634943,0.0141333683573153,0.0054653270765696,0.7979331336901971,0.6809535341977515,0.7582079761180918,0.5614173862568386,0.4980574823590924,0.541066337350907,0.7979331336901971,0.6809535341977515,0.7582079761180918,0.0059075404160279,0.016202948539001,0.0067205834041565,0.5614173862568386,0.4980574823590924,0.541066337350907,0.006366742810182,0.0189093466093835,0.0074455087021609,14.0,B,14.0,09 18 15.97,+20 22 05.3,14.73,9548.0,139.5665417,20.36813889,30.0,130.0,0.031881,9.17e-06,25.0,25.0,0.0,14.0
14,14,,,34.0,19.0,,65.0,15.0,,,,,,,,,0.069,1243.1621877338675,1182.704986610397,899.9545737542212,591.8310581297317,562.779347871701,425.0254531763494,2126.055226392443,2025.5225016906309,1570.4145926460624,5.045569288357736,5.016075469510348,4.939639292634976,2.3430720288363944,2.328207245462675,2.2891996614763306,9.544074452272165,9.502042351934836,9.397066728270826,[0.08399157 0.0574168  0.03155078],0.0839915733021312,0.0574167956266353,0.0315507796901333,14.70626372419545,16.31407508504782,14.483759056054382,15.485514045840995,17.06824871059632,15.258318755709274,14.14951286640096,15.823163263028354,13.938910585760398,0.00440663117334,0.027032817921429,0.0061628240940069,0.0042984532445847,0.0257346982715196,0.0059806414279213,0.0048739783638274,0.0318818100807993,0.006907735102975,0.7792503216455451,0.7541736255484999,0.7745596996548922,0.5567508577944889,0.4909118220194646,0.5448484702939833,0.7792503216455451,0.7541736255484999,0.7745596996548922,0.0061558994950968,0.0373235574389593,0.0085876930955316,0.5567508577944889,0.4909118220194646,0.5448484702939833,0.0065706973289682,0.0417997973535912,0.0092572784913572,15.0,B,15.0,09 36 34.63,+21 13 57.8,14.43,10281.0,144.1442917,21.23272222,60.0,115.0,0.034274,9.19e-06,25.0,25.0,0.0,15.0
15,15,,,19.0,14.0,,40.0,12.0,,,,,,,,,0.032,137.85903818079532,148.22925852822203,128.45647454215214,59.46295171144985,64.35237621439606,55.1088858244475,232.73598087717005,244.99696897536435,218.1315024169162,0.8276894308592216,0.8274710337579712,0.8247279541850763,0.3187038991780368,0.3185922728405191,0.3170910367457257,1.5125264100557885,1.511061777958527,1.5085127461444647,[0.03895261 0.02662808 0.01463225],0.0389526137053362,0.0266280791311932,0.0146322456533951,17.12478381044492,19.233202366367376,16.979262181189412,18.0254312273776,20.046457401193376,17.868553737316752,16.56820892882813,18.91238178651065,16.44959998037064,0.006518632316301,0.0641511506755309,0.0098617165166146,0.0058192261227514,0.0527977418185185,0.0087074703331771,0.0070560842284077,0.0862900741848603,0.0109435044322738,0.9006474169326779,0.8132550348259997,0.8892915561273398,0.5565748816167897,0.3208205798567256,0.5296622008187732,0.9006474169326779,0.8132550348259997,0.8892915561273398,0.0087381897406063,0.0830841240799324,0.0131557398977492,0.5565748816167897,0.3208205798567256,0.5296622008187732,0.0096062943903207,0.1075237045298541,0.0147313862862009,16.0,B,16.0,09 42 07.35,+36 24 17.2,16.95,18028.0,145.530625,36.40477778,30.0,140.0,0.060119,1.821e-05,25.0,25.0,0.0,16.0
19,19,,,22.0,17.5,,82.0,12.0,,,,,,,,,0.086,139.62206709567317,156.84662215688795,116.8611701107584,50.9818212055665,60.14444693945892,40.79167710710317,301.8035185528121,326.52332227433266,258.53562542109285,0.7693032549921346,0.7693099567015672,0.7620630688856993,0.2238443360236827,0.2244063649052776,0.2189308317889203,1.8445397278002853,1.8438387056684404,1.8333065504372288,[0.10468515 0.07156296 0.03932416],0.104685149333091,0.0715629626650817,0.0393241601934995,17.066051878785704,18.423682011846868,16.79262575197666,18.1267764867706,19.1784570220056,17.777392434200063,16.26136509316282,17.879600016576727,16.040784364703672,0.0059822950179565,0.0294031031665498,0.008029694059607,0.0047671090224689,0.0175886895189619,0.0059465530602754,0.006635719733125,0.0415232712267151,0.0093600985428004,1.0607246079848949,0.7547750101587312,0.9847666822234018,0.8046867856228843,0.5440819952701403,0.7518413872729894,1.0607246079848949,0.7547750101587312,0.9847666822234018,0.0076493909635978,0.0342622893983635,0.0099918706951981,0.8046867856228843,0.5440819952701403,0.7518413872729894,0.0089342391986364,0.0508795099149954,0.0123323733085657,20.0,B,20.0,10 26 00.41,+04 14 33.0,17.84,22287.0,156.5017083,4.2425,90.0,5.0,0.074281,3.225e-05,25.0,25.0,0.0,20.0
